order_id,order_date,ship_date,ship_mode,customer_id,first_name,last_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
152156,2016-11-08,2016-11-11,"Second Class",12520,Claire,Gute,Consumer,"United States",Henderson,Kentucky,42420,South,10001798,Furniture,Bookcases,"Bush Somerset Collection Bookcase",261.96,2,0,41.91
152156,2016-11-08,2016-11-11,"Second Class",12520,Claire,Gute,Consumer,"United States",Henderson,Kentucky,42420,South,10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, R",731.94,3,0,219.58
138688,2016-06-12,2016-06-16,"Second Class",13045,Darrin,"Van Huff",Corporate,"United States","Los Angeles",California,90036,West,10000240,"Office Supplies",Labels,"Self-Adhesive Address Labels for Typewriters by",14.62,2,0,6.87
108966,2015-10-11,2015-10-18,"Standard Class",20335,Sean,O'Donnell,Consumer,"United States","Fort Lauderdale",Florida,33311,South,10000577,Furniture,Tables,"Bretford CR4500 Series Slim Rectangular Table",957.58,5,0.45,-383.03
108966,2015-10-11,2015-10-18,"Standard Class",20335,Sean,O'Donnell,Consumer,"United States","Fort Lauderdale",Florida,33311,South,10000760,"Office Supplies",Storage,"Eldon Fold 'N Roll Cart System",22.37,2,0.2,2.52
115812,2014-06-09,2014-06-14,"Standard Class",11710,Brosina,Hoffman,Consumer,"United States","Los Angeles",California,90032,West,10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessor",48.86,7,0,14.17
115812,2014-06-09,2014-06-14,"Standard Class",11710,Brosina,Hoffman,Consumer,"United States","Los Angeles",California,90032,West,10002833,"Office Supplies",Art,"Newell 322",7.28,4,0,1.97
115812,2014-06-09,2014-06-14,"Standard Class",11710,Brosina,Hoffman,Consumer,"United States","Los Angeles",California,90032,West,10002275,Technology,Phones,"Mitel 5320 IP Phone VoIP phone",907.15,6,0.2,90.72
115812,2014-06-09,2014-06-14,"Standard Class",11710,Brosina,Hoffman,Consumer,"United States","Los Angeles",California,90032,West,10003910,"Office Supplies",Binders,"DXL Angle-View Binders with Locking Rings by Sam",18.50,3,0.2,5.78
115812,2014-06-09,2014-06-14,"Standard Class",11710,Brosina,Hoffman,Consumer,"United States","Los Angeles",California,90032,West,10002892,"Office Supplies",Appliances,"Belkin F5C206VTEL 6 Outlet Surge",114.90,5,0,34.47
115812,2014-06-09,2014-06-14,"Standard Class",11710,Brosina,Hoffman,Consumer,"United States","Los Angeles",California,90032,West,10002033,Technology,Phones,"Konftel 250 Conference phone - Charcoal black",911.42,4,0.2,68.36
118983,2015-11-22,2015-11-26,"Standard Class",14815,Harold,Pawlan,"Home Office","United States","Fort Worth",Texas,76106,Central,10000756,"Office Supplies",Binders,"Storex DuraTech Recycled Plastic Frosted Binders",2.54,3,0.8,-3.82
105893,2014-11-11,2014-11-18,"Standard Class",19075,Pete,Kriz,Consumer,"United States",Madison,Wisconsin,53711,Central,10004186,"Office Supplies",Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 3"",665.88,6,0,13.32
167164,2014-05-13,2014-05-15,"Second Class",10270,Alejandro,Grove,Consumer,"United States","West Jordan",Utah,84084,West,10000107,"Office Supplies",Storage,"Fellowes Super Stor/Drawer",55.50,2,0,9.99
143336,2014-08-27,2014-09-01,"Second Class",21925,Zuschuss,Donatelli,Consumer,"United States","San Francisco",California,94109,West,10003056,"Office Supplies",Art,"Newell 341",8.56,2,0,2.48
143336,2014-08-27,2014-09-01,"Second Class",21925,Zuschuss,Donatelli,Consumer,"United States","San Francisco",California,94109,West,10001949,Technology,Phones,"Cisco SPA 501G IP Phone",213.48,3,0.2,16.01
143336,2014-08-27,2014-09-01,"Second Class",21925,Zuschuss,Donatelli,Consumer,"United States","San Francisco",California,94109,West,10002215,"Office Supplies",Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.38
137330,2016-12-09,2016-12-13,"Standard Class",16585,Ken,Black,Corporate,"United States",Fremont,Nebraska,68025,Central,10000245,"Office Supplies",Art,"Newell 318",19.46,7,0,5.06
137330,2016-12-09,2016-12-13,"Standard Class",16585,Ken,Black,Corporate,"United States",Fremont,Nebraska,68025,Central,10001492,"Office Supplies",Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.69
