id,customer_id,provider,credit_card_number,expiry
143,10015,maestro,676339716224458000,2021/11/27
144,10045,americanexpress,374283967821133,2022/03/28
145,10060,jcb,3556792121444750,2021/05/12
146,10075,jcb,3585024581464750,2021/07/15
147,10090,instapayment,6399245151231470,2021/11/23
148,10105,visa,4041375019957,2021/11/17
149,10120,bankcard,5610736995372840,2021/11/21
150,10135,maestro,6049324301703100,2021/12/29
151,10150,maestro,6761351671354530000,2022/03/03
152,10165,jcb,3573125253638690,2021/12/08
153,10180,americanexpress,371215994929094,2022/03/04
154,10195,jcb,3569011623477420,2021/06/06
155,10210,diners-club-carte-blanche,30390145075577,2021/05/29
156,10225,visa,4041374104071060,2021/12/27
157,10240,solo,6767273743585650000,2021/06/26
158,10255,jcb,3529613457610560,2021/11/05
159,10270,jcb,3541767515549460,2022/02/21
160,10285,mastercard,5362364907227840,2021/05/16
161,10300,mastercard,5002359375160490,2021/11/07
162,10315,china-unionpay,5602225706409100000,2021/12/18
163,10330,mastercard,5102069846240840,2021/12/17
164,10345,switch,6333094620492530000,2021/10/31
165,10360,maestro,6762435093418560000,2022/02/13
166,10375,americanexpress,379895410459495,2021/12/11
167,10390,bankcard,5602257423688630,2021/09/30
168,10405,maestro,67630673370064900,2021/08/19
169,10420,mastercard,5100175368136330,2021/10/17
170,10435,china-unionpay,560225329375114000,2022/01/19
171,10450,laser,67063205923878000,2021/07/31
172,10465,switch,6333699290297930000,2021/09/30
173,10480,jcb,3579860528948700,2022/03/20
174,10495,mastercard,5416563167136940,2021/08/18
175,10510,mastercard,5108758528139710,2021/07/07
176,10525,diners-club-carte-blanche,30282511710319,2021/12/15
177,10540,jcb,3572965662461380,2021/10/12
178,10555,jcb,3538748610009770,2021/11/17
179,10585,jcb,3528232694842510,2021/05/28
180,10600,jcb,3577671793766500,2022/03/27
181,10615,jcb,3581717515220980,2022/03/16
182,10630,jcb,3528307410113950,2022/03/19
183,10645,jcb,3589086615253530,2021/12/21
184,10660,switch,564182097552301000,2021/07/20
185,10675,china-unionpay,56022532865479200,2021/10/25
186,10690,diners-club-us-ca,5482621818728130,2022/01/31
187,10705,jcb,3547764168056670,2022/03/24
188,10720,mastercard,5167498121067260,2021/07/20
189,10735,jcb,3542739653032080,2021/11/19
190,10765,diners-club-enroute,201958355396017,2022/01/18
191,10780,laser,6771797964673910000,2021/11/15
192,10795,visa-electron,4405716719087580,2021/07/21
193,10825,jcb,3572077457627320,2021/10/20
194,10840,maestro,501887694729267000,2022/01/27
195,10855,visa-electron,4405229042424220,2021/12/14
196,10870,jcb,3570429962739620,2021/09/24
197,10885,mastercard,5100174547909830,2022/03/20
198,10900,americanexpress,374622549767217,2021/05/26
199,10915,jcb,3540257304527310,2021/06/28
200,10930,diners-club-us-ca,5440417786353320,2021/07/08
201,10945,jcb,3549304963488660,2022/03/16
202,10960,jcb,3571624277465880,2021/12/22
203,10975,jcb,3544818166418110,2021/05/11
204,10990,solo,6334729775852650000,2021/04/09
